Neighbourhood Name,Latitude,Longitude,Violation_Type,Reported_Month,Reported_Year,QRT,Preschool,Kindergarten,Gr7_Gr9,Gr10_Gr12,Post_Secondary,Homemaker,Employedage0-30,Employed 30+ ,Unemployed,Retired,Permanently U,Employment_No Response,"Income_Less than $30,","Income_$30,000 to les","Income_$60,000 to les","Income_$100,000 to le","Income_$125,000 to le","Income_$150,000 to le","Income_$200,000 to le","Income_$250,000 or mo",Income_No Response,actual values,predicted
CALGARY TRAIL SOUTH,53.471191,-113.493532,Assault,April,2016,Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.612
MICHAELS PARK,53.479575,-113.446214,Robbery,March,2016,Q1,64.0,100.0,30.0,35.0,52.0,34.0,101.0,499.0,100.0,227.0,19.0,959.0,38.0,77.0,95.0,35.0,23.0,18.0,7.0,3.0,512.0,1,1.358
EKOTA,53.44941,-113.442336,Sexual Assaults,December,2016,Q4,97.0,157.0,70.0,67.0,56.0,47.0,116.0,602.0,107.0,233.0,18.0,845.0,53.0,107.0,108.0,35.0,24.0,29.0,8.0,3.0,546.0,1,1.136
ALDERGROVE,53.516888,-113.641242,Robbery,March,2016,Q1,290.0,348.0,126.0,108.0,168.0,113.0,271.0,1711.0,223.0,451.0,61.0,1110.0,119.0,266.0,284.0,135.0,72.0,49.0,22.0,12.0,952.0,1,1.388
ALBERTA AVENUE,53.568485,-113.485119,Robbery,April,2016,Q2,246.0,301.0,102.0,109.0,155.0,156.0,435.0,1861.0,369.0,508.0,171.0,2342.0,601.0,667.0,364.0,139.0,62.0,61.0,11.0,4.0,1138.0,4,3.546
TERRACE HEIGHTS,53.542081,-113.437801,Assault,November,2016,Q4,60.0,67.0,28.0,23.0,44.0,21.0,69.0,503.0,77.0,245.0,37.0,1250.0,111.0,118.0,99.0,42.0,32.0,40.0,15.0,7.0,684.0,1,2.226
GARNEAU,53.519911,-113.513536,Assault,June,2016,Q2,109.0,105.0,24.0,17.0,1621.0,60.0,268.0,1732.0,287.0,538.0,45.0,4984.0,1044.0,523.0,423.0,132.0,78.0,89.0,33.0,61.0,3183.0,8,2.394
KILKENNY,53.610378,-113.455119,Assault,July,2016,Q3,145.0,280.0,130.0,128.0,122.0,119.0,223.0,1245.0,196.0,573.0,79.0,2367.0,208.0,321.0,250.0,110.0,72.0,40.0,20.0,7.0,1007.0,1,3.256
GLENWOOD,53.536417,-113.60277,Sexual Assaults,March,2016,Q1,176.0,244.0,102.0,93.0,85.0,78.0,248.0,1302.0,225.0,647.0,78.0,1701.0,404.0,435.0,251.0,83.0,34.0,26.0,6.0,2.0,943.0,2,1.826
POLLARD MEADOWS,53.449115,-113.413032,Sexual Assaults,June,2016,Q2,251.0,315.0,108.0,101.0,79.0,211.0,145.0,1154.0,143.0,294.0,44.0,1725.0,134.0,269.0,202.0,75.0,30.0,21.0,5.0,1.0,836.0,1,1.884
EDMONTON NORTHLANDS,53.568372,-113.456446,Robbery,January,2016,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.122
SUMMERSIDE,53.417528,-113.461227,Assault,September,2016,Q3,967.0,1157.0,348.0,273.0,307.0,398.0,491.0,4517.0,368.0,354.0,41.0,4139.0,82.0,332.0,735.0,498.0,355.0,393.0,133.0,130.0,1833.0,4,3.244
